© 2000-2024 QIAGEN. All rights reserved.

Upstream Regulators	c1	c2	c3
STAT2	N/A	N/A	-1.311
CDKN2A	0.218	-1.022	N/A
RB1	N/A	N/A	-1.238
ELK1	N/A	N/A	-1.234
GATA3	N/A	-1.226	N/A
MEOX2	N/A	N/A	-1.154
SMAD1	N/A	1.154	N/A
ESRRA	N/A	1.151	N/A
SIM1	N/A	N/A	-1.134
TFE3	N/A	-1.134	N/A
ARNT2	N/A	N/A	-1.134
Fus	N/A	1.131	N/A
SRSF2	N/A	-1.119	N/A
EHF	N/A	N/A	-1.117
IRF8	N/A	N/A	1.091
CBFA2T3	N/A	N/A	-1.067
TFAP2C	N/A	N/A	1.067
HES1	N/A	1.067	N/A
STAT5A	N/A	N/A	-1.067
FOS	N/A	0.04	-1.006
PDX1	N/A	0.943	-0.059
NANOG	N/A	N/A	-1.0
ZNF281	N/A	1.0	N/A
USF1	N/A	N/A	-1.0
IKZF3	N/A	N/A	1.0
PCGF2	N/A	N/A	0.984
MECP2	N/A	-0.975	N/A
RUNX3	N/A	-0.97	N/A
TBX5	N/A	-0.958	N/A
SND1	N/A	N/A	0.937
BCL3	N/A	N/A	-0.849
TEAD	N/A	N/A	-0.849
HAND2	N/A	-0.849	N/A
BACH1	N/A	-0.83	N/A
GLI3	N/A	N/A	-0.762
EGR3	N/A	N/A	0.739
NFAT5	N/A	0.378	-0.343
NFKBIA	0.0	-0.168	-0.52
EOMES	N/A	-0.651	N/A
BMAL1	N/A	N/A	-0.632
LEF1	N/A	0.263	0.342
26S proteasome	0.0	-0.359	0.225
BCL6	N/A	-0.128	0.447
VDR	N/A	N/A	0.563
FOXO3	N/A	0.106	-0.422
RUNX2	N/A	-0.525	N/A
RUNX1	N/A	0.504	N/A
ATF1	N/A	N/A	0.492
TP73	-0.468	N/A	0.012
GATA1	N/A	-0.47	N/A
IRF2BP2	N/A	N/A	0.447
CREB	N/A	-0.429	N/A
TFAM	N/A	-0.426	N/A
TCF4	N/A	0.426	N/A
HDAC	N/A	0.419	N/A
GATA4	N/A	-0.417	N/A
HNF4A	N/A	0.039	-0.368
ZNF148	N/A	N/A	0.382
ETV5	N/A	N/A	0.378
XBP1	N/A	N/A	0.376
PITX2	N/A	-0.216	0.152
MYOCD	N/A	-0.328	N/A
NFKB2	N/A	N/A	0.314
ID2	-0.294	N/A	N/A
NCOA4	N/A	-0.283	N/A
GRHL2	N/A	N/A	-0.218
COPS5	N/A	-0.194	N/A
NEUROG3	N/A	0.0	0.186
DNAJB6	N/A	N/A	0.124
E2F1	N/A	N/A	-0.054
CALR	N/A	-0.048	N/A
GTF2I	N/A	N/A	N/A
BMI1	N/A	N/A	N/A
NOSTRIN	N/A	N/A	N/A
HDAC7	N/A	N/A	N/A
ZFHX3	N/A	N/A	N/A
MAX	N/A	N/A	N/A
ATF6B	N/A	N/A	N/A
TCF/LEF:CTNNB1:AXIN2 gene	N/A	N/A	N/A
BCOR	N/A	N/A	N/A
FOXP3	N/A	N/A	N/A
FOXQ1	N/A	N/A	N/A
NPM1:TFAP2A homodimer:NOP2 gene	N/A	N/A	N/A
ZBTB17	N/A	N/A	N/A
HEXIM1	N/A	N/A	N/A
DLX5	N/A	N/A	N/A
NOTCH1 coactivator complex:NOTCH3 gene	N/A	N/A	N/A
CTCF	N/A	N/A	N/A
MACC1	N/A	N/A	N/A
RFX5	N/A	N/A	N/A
NRIP1:NR1H2,3:RXR:NR1H2,3 ligand:SREBF1 gene	N/A	N/A	N/A
SIN3A:ACK685-STAT3 dimer:IL2RG gene	N/A	N/A	N/A
TRIP13	N/A	N/A	N/A
ZNF100	N/A	N/A	N/A
NDN	N/A	N/A	N/A
CUX1	N/A	N/A	N/A
GPS2	N/A	N/A	N/A
