motif	name	variability	bootstrap_lower_bound	bootstrap_upper_bound	p_value	p_value_adj	270502_S0_L001.sorted.dedup.bam	304955_S0_L001.sorted.dedup.bam	278106_S0_L001.sorted.dedup.bam	304944_S0_L001.sorted.dedup.bam	313308_S0_L001.sorted.dedup.bam	2792020_S32_L003.sorted.dedup.bam	2781090_S41_L003.sorted.dedup.bam	2858490_S0_L001.sorted.dedup.bam	2811610_S33_L003.sorted.dedup.bam	2705020_S0_L001.sorted.dedup.bam	2858810_S31_L003.sorted.dedup.bam	2781080_S30_L003.sorted.dedup.bam	2705010_S40_L003.sorted.dedup.bam	2858800_S38_L003.sorted.dedup.bam	3049430_S42_L003.sorted.dedup.bam	2705000_S0_L001.sorted.dedup.bam	3049380_S0_L001.sorted.dedup.bam	2792010_S0_L001.sorted.dedup.bam	3013500_S34_L003.sorted.dedup.bam	2811630_S35_L003.sorted.dedup.bam	2792040_S0_L001.sorted.dedup.bam	2781020_S37_L003.sorted.dedup.bam	3049400_S39_L003.sorted.dedup.bam	3049450_S36_L003.sorted.dedup.bam	m329861_S198.sorted.dedup.bam	m329883_S194.sorted.dedup.bam	m344004_S196.sorted.dedup.bam	m344001_S207.sorted.dedup.bam	m329885_S199.sorted.dedup.bam	m329865_S206.sorted.dedup.bam	m318978_S195.sorted.dedup.bam	m318979_S197.sorted.dedup.bam	m313309_S193.sorted.dedup.bam	m318986_S33_sorted.dedup.bam	m334087_S35_sorted.dedup.bam	m357484_S37_sorted.dedup.bam	m357486_S34_sorted.dedup.bam	m357488_S36_sorted.dedup.bam	m364088_S38_sorted.dedup.bam
MA0003.4_TFAP2A	TFAP2A	3.15980731055719	2.35479404097424	3.82084200495607	7.1607708089543e-58	1.02551310454029e-57	-3.45269136394195	-4.52549746667764	-0.12355046775908	-0.606216673634901	-4.03653641216524	0.572769219956218	2.55773974179689	-0.692320185760678	0.706892472038839	-3.44453407400875	2.45742306856035	0.510233084525776	-3.47253213978659	-1.90510893976804	0.0592786937475718	2.21059588792252	8.26229012977104	1.69786591371452	0.932385047095647	6.13136195100628	-1.53077888898461	-2.18890005326897	3.17146092935708	-0.870720890187524	-3.33244527732218	0.379692213452766	-3.89166664468081	3.70170251865259	-2.72579136368126	3.41586202557451	-2.48412514158199	-2.65664252424864	-1.18927144402593	-4.52893367148026	4.91342215235865	-1.0279837175378	-4.24837729108225	-2.04552479876253	-4.7715868392638
MA0009.2_TBXT	TBXT	2.7436170688402	2.31387275831468	3.07654335343959	8.61891036014719e-40	1.12028136714028e-39	-2.94899394253315	-0.46061597094093	0.214536599986031	-0.506448776258579	-0.295084564048407	-3.23389780566409	2.37815318476069	0.647071849739121	3.0573642897111	-2.33214942325954	4.86752642959467	3.44302586779271	-2.68384746652979	0.674558215525302	1.32293826504689	2.86112950675947	-3.9741274153345	3.48823557579942	4.75955330607127	-3.58139353064282	-0.378497572705421	-1.89308930416978	3.02391269929596	1.35181054489388	-3.29799679374287	-0.866265118814747	2.9983503796214	3.42867378808493	-2.94778548631753	3.27841062451554	3.2312496325092	-0.0540742585179309	1.84834927016991	-0.58265874773489	-4.07205273298042	-2.730056967463	-0.913842092485269	-4.69590898032597	-1.21519950659838
MA0014.3_PAX5	PAX5	2.12082598270393	1.59136251241084	2.54597718916571	8.94528447179696e-19	9.93397380815347e-19	-0.672556091638336	4.70714131137877	-0.942247509548052	0.363599674131258	3.90371583301233	-2.50335043565003	-1.74044839754342	-0.670655050287619	1.56864449083485	-0.637455422719779	3.35858838644319	1.15591604837053	-1.14655065932861	-0.851104749830525	-1.46181830063195	0.989968418669337	0.145484573593393	2.78891310070121	3.02046048367952	0.779027011878408	0.0962936262794023	-0.158579167295458	-0.557930004989029	-0.892256486414447	-0.384184211868148	-1.89624509474885	-1.19935499108262	0.530497613633835	0.084938363714379	0.780026313628188	-2.96095757520269	-1.58539165487821	5.01415185662766	0.543681644299603	-3.90559176679243	0.542662108533435	0.645854759117774	-2.34745504646403	4.56423987792577
MA0017.2_NR2F1	NR2F1	5.14971551008751	3.62140834522029	6.44519752921364	1.05300818034719e-186	2.78892961573125e-186	0.366590691030405	4.92107375215199	3.98868369022645	0.299467996410932	5.87628796579489	-7.59950019195492	10.1691447516967	1.11575099083368	9.40248649703543	-0.0307046419818976	3.4540331102717	1.67389122605845	-4.4195118669825	1.94113267247241	2.37089835280115	6.11542688846421	-6.39956327516634	1.69960278541514	3.54214986052428	-2.51249832740967	2.10674329706785	-0.48765358202229	10.0716439916008	2.10524568814039	-3.11038586757658	1.44305885596125	-0.387061072283986	1.24777532703118	-3.56523550968692	-1.02643596923473	-2.69662750812431	-1.39968583931555	6.74657856599906	2.09491739744872	-14.4400309907382	2.53406489123225	4.527943752431	-10.7561483437404	4.80519275981463
MA0018.4_CREB1	CREB1	4.90595814070258	3.74841474393162	5.73831918179309	3.10298884305058e-167	7.35652411105249e-167	-6.4961521247443	-2.37822630216128	-2.41378608820374	2.683066400795	-2.32196002006765	-7.15622803516202	1.89840056530659	11.3394135590732	-1.40635019340267	-2.51294926538974	0.152233117327605	-5.42029266338466	-8.4681936695012	5.44022339940345	8.87699332477855	1.47013552823344	-6.39322659168618	-2.23658683545952	0.0700599690030613	-6.0705559549551	-1.95166319314919	-7.83829728596708	4.9965462695209	8.52589713356806	-1.69437994642225	-2.01623479659991	0.826982912796559	-0.492693571925687	-2.18158323996086	0.288252749487039	-3.72123209250741	-6.67241606700364	1.63803307355267	5.69933657766287	-1.22478494361671	0.0778082064631586	7.42729919336134	6.23650218780566	1.1713221401211
MA0024.3_E2F1	E2F1	2.11906883041733	1.63780378057925	2.49583335225243	1.00068227801727e-18	1.10933779682125e-18	-0.531741644183149	-2.39786529162375	-2.82527512008505	-0.137048475948952	-2.48995776451191	0.508683585295417	-1.40204497969615	1.65506530922163	-3.15879870806845	-0.839052297961041	-4.92250060754965	-1.02587949880012	2.38538791584376	1.01854586009557	1.01446413404682	-5.33009749422739	1.16223454347139	-4.64169175667592	-1.27140711242555	1.5883040720303	-1.2489890065479	-0.274693488698158	-1.54422862360226	1.00326158776936	0.308185567996612	-0.808318400387694	-1.6406206515098	-1.4295689425218	0.480876470471937	-0.998782102633538	-2.36367564372477	2.15776525505935	2.02710041223325	1.14079739396587	2.35190570362267	1.75053116635733	0.901937235846091	3.45144293079778	1.74550474996686
MA0025.2_NFIL3	NFIL3	6.57778744952634	3.44986037588945	8.87284033728199	4.44165015611281e-321	1.98021510853172e-320	8.10750203496348	-5.88379378862222	-4.38278276722215	-4.34605587251307	-5.27799976739617	-1.73369768119339	-4.43311217150495	2.67951044743043	-4.27742777055019	-4.16303036563096	2.08626499719883	-8.45777232245892	-1.57365115274553	2.41578447739446	2.2133433187327	-3.5051284439618	23.0294784781291	1.41766305863195	-5.25051339827128	18.8090133802927	-3.96953160635801	14.3781147046716	-5.24459650469287	2.17947347285735	4.11810905697829	-1.09670595178013	-0.46914414619931	-3.68065469416506	3.60595466102765	-5.36551343857825	-2.0659597669432	-2.17052866120131	-1.07352343821289	-1.55048754051922	-1.8555039891695	-5.08062412289372	-3.41760758002691	-1.89852323529522	-3.85687351670925
MA0027.2_EN1	EN1	3.74805329291197	2.39410633079129	4.83733702726141	9.56788832267657e-89	1.56498018301144e-88	-0.663218793346204	-1.1158324832516	-0.870708216682686	-1.09767454668593	-0.227522976271993	0.536432847239247	-0.0856341613695115	4.49864734776592	-3.28841636091975	-2.99110609629354	1.60549167238348	-0.99195695608142	5.80826120885852	6.43756795319806	6.26040228309884	-4.07554671274843	-1.29472875048326	1.19892237244397	-4.74274499577395	-1.26449379694474	-1.40969956583464	-5.84619250297166	-1.32692421205249	3.73367887638253	-0.412888678231499	-0.481525970549557	-1.63040320282381	-1.25063192736529	-0.436418600309431	-3.99789918287802	-2.44552390118264	0.0791834324580844	-0.672140541131918	0.319228956155522	13.6249809856755	-2.81377458097649	-0.725453368582069	6.99120292235957	-2.46359877852854
MA0028.2_ELK1	ELK1	4.56642721871082	3.12374048290848	6.05676636902918	8.16076483887702e-142	1.6992645207267e-141	0.973740773491499	-0.03807905599695	-4.33301244466553	2.28726507256338	-2.05432901226739	3.02740728376182	-3.74067118612587	-0.392557556078778	-2.52499076835823	-0.455654180052612	-4.76606860784027	-4.96946577964669	6.25469077802386	-0.119149596967872	-1.63198294234902	-1.34551722198569	1.03867565476008	-5.82983958431351	-0.39238903011492	2.91671810376182	1.31567937084264	3.69620365696119	-3.01367439034118	-0.535917382134582	2.61912716884313	-0.736800396990784	-4.44790635179903	-9.68931717230112	1.26231237470815	-7.68416998645709	-4.90559203709748	-2.60895237835852	2.94103457451691	3.06827208880125	0.455016675114064	7.14404260927701	4.00203791663405	5.25852537794204	15.759778868534
MA0030.1_FOXF2	FOXF2	9.12575028656225	7.41576337063758	10.8848916313849	0	0	0.293201196802445	9.54080330766041	2.83030680218245	0.935041835639455	3.80977981068484	2.81471994893174	-7.45987318395993	7.25524631662968	8.37293962327001	-5.84976434424107	10.6357790032796	-0.992493374417869	-2.46448339424659	9.46527296847376	9.47731702504065	11.1467259750674	-11.469698061192	10.6277330860594	3.3857443689527	-12.4489412488441	-3.87279074740704	0.883180375481292	-5.1180069936346	8.84609708326377	0.992392245975629	-6.36018286889885	22.5299401214831	-12.2529650153736	1.12633829157694	-13.9687843537687	17.7875053138443	-2.06684202527124	6.02029360767153	8.75605145898741	-15.5129300783836	-2.42391913698934	5.60850944652241	-14.769629273566	-9.17930000286075
