	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	6.368050757	0.84854045	0.345154227	2.458438531	0.013954266	0.158382197
A1CF	0.044714865	0.044621411	2.208655494	0.020202975	0.983881455	NA
A2M	0.221202386	-0.054763489	1.353070595	-0.04047349	0.967715641	NA
A2ML1	0.081293181	-0.309591879	2.208655494	-0.1401721	0.888524015	NA
A3GALT2	2.623031426	-0.544840542	0.421500489	-1.292621376	0.196142043	0.570720491
A4GALT	1.439094026	-0.216369441	0.662400532	-0.326644425	0.743936839	0.915131051
A4GNT	0.027379363	0.271317805	2.208655494	0.122842972	0.902231445	NA
AAAS	3.664199879	-0.618427139	0.3221945	-1.919421771	0.054930978	0.318659922
AACS	6.290110684	0.578631768	0.304139001	1.902524061	0.057102676	0.324505232
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0.135997082	0.526686656	2.099030038	0.250919066	0.801876684	NA
AADACL3	0.137784806	0.172138307	2.208655494	0.077938052	0.93787733	NA
AADACL4	0.159831454	-0.182074983	2.208655494	-0.082437023	0.934299196	NA
AADAT	3.397869236	0.373106083	0.278015642	1.342032702	0.179585393	0.54956334
AAED1	2.428025226	-0.422942005	0.320895418	-1.31800575	0.187501723	0.5599348
AAGAB	3.973363086	0.075238556	0.233020843	0.322883375	0.746783567	0.916900952
AAK1	2.305461317	-0.141071168	0.287952389	-0.489911434	0.624196572	0.868397969
AAMDC	4.513537203	0.591560408	0.24289191	2.435488307	0.014871705	0.163998192
AAMP	6.845362678	-0.572193944	0.231146447	-2.475460691	0.013306441	0.15408196
AANAT	0.091328527	0.398834701	2.208655494	0.180578049	0.856698787	NA
AAR2	1.853921181	-0.182432326	0.320965109	-0.568386783	0.569772363	0.846794505
AARD	0.134575634	0.299974029	1.688942733	0.177610539	0.859028847	NA
AARS	6.219156009	-0.278538676	0.242247417	-1.149810715	0.250221841	0.623102683
AARS2	6.036019149	-0.050028915	0.190939573	-0.262014386	0.793310351	0.934775415
AARSD1	5.744943954	-0.45048175	0.227237885	-1.982423619	0.047431848	0.300490439
AASDH	3.033797373	0.009018761	0.264469225	0.034101361	0.972796323	0.991840553
AASDHPPT	3.628619968	0.271883055	0.264044359	1.029687041	0.303156941	0.670105566
AASS	1.263900871	-1.463544872	0.676229531	-2.164272343	0.030443454	0.242108918
AATF	3.692099687	-0.084345649	0.226270943	-0.372763944	0.70932414	0.90515958
AATK	1.811020347	0.763944092	0.536858652	1.422989251	0.154739271	0.517846102
AATK-AS1	0	NA	NA	NA	NA	NA
ABAT	1.753912599	0.552221548	0.405059935	1.36330824	0.172785386	0.541650124
ABCA1	1.206003865	-1.19866557	0.588380912	-2.037227153	0.041627284	0.283380474
ABCA10	1.068023339	0.363380984	0.535979961	0.677974943	0.497787581	0.803670315
ABCA12	1.346145028	0.813111271	0.494614141	1.643930497	0.10019056	0.420434668
ABCA13	0.076288168	0.044621411	2.208655494	0.020202975	0.983881455	NA
ABCA2	4.007101778	0.119693173	0.354606862	0.337537667	0.735711623	0.913338703
ABCA3	2.376829523	0.766959219	0.441144092	1.738568492	0.082110693	0.385096778
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	6.291387137	0.200607297	0.220761775	0.908704857	0.36350594	0.719633792
ABCA6	0.374040419	-0.3858093	1.181875834	-0.326438099	0.744092916	NA
ABCA7	3.314228244	-0.064264934	0.287578839	-0.223468925	0.823170566	0.947126454
ABCA8	0.089224599	-0.309591879	2.208655494	-0.1401721	0.888524015	NA
ABCA9	0.281574249	0.415851752	1.321351739	0.314716922	0.752976595	NA
ABCB1	0.129665992	-0.554415783	2.122165391	-0.261250035	0.793899695	NA
ABCB10	4.077218234	0.110969235	0.224389374	0.494538728	0.620925762	0.867505819
ABCB11	0	NA	NA	NA	NA	NA
ABCB4	0.18832148	-1.065218964	2.198915507	-0.484429238	0.628081272	NA
ABCB5	0.077014579	0.398834701	2.208655494	0.180578049	0.856698787	NA
ABCB6	4.055013128	-0.086587318	0.23445313	-0.36931611	0.711892119	0.905562447
ABCB7	2.426274766	-0.001199919	0.280697561	-0.004274777	0.996589232	0.998680372
ABCB8	4.949498324	0.026017385	0.223427171	0.116446825	0.907298427	0.973102214
ABCB9	1.844025414	-0.428276156	0.333975882	-1.282356537	0.199717603	0.573518381
ABCC1	2.325413255	-0.377542645	0.353190528	-1.068948951	0.285092673	0.654585007
ABCC10	5.06744203	-0.346593407	0.21858641	-1.585612792	0.112827173	0.446312521
ABCC11	0.171383735	0.398834701	2.208655494	0.180578049	0.856698787	NA
ABCC12	0.048671707	0.271317805	2.208655494	0.122842972	0.902231445	NA
ABCC2	0.072582397	-0.309591879	2.208655494	-0.1401721	0.888524015	NA
ABCC3	0.271919413	-0.874423608	1.313369609	-0.665786388	0.505547646	NA
ABCC4	0.570451393	-0.79292413	0.635703592	-1.247317365	0.212281153	NA
ABCC5	3.538356734	-0.2241365	0.242130549	-0.925684517	0.354609956	0.713298531
ABCC6	0.376932443	0.092601411	0.861458264	0.107493787	0.914397254	NA
ABCC8	1.764245391	0.579472223	0.703655877	0.823516496	0.41021434	0.747414741
ABCC9	0.18418599	0.044621411	2.208655494	0.020202975	0.983881455	NA
ABCD1	1.562136431	-0.121362667	0.42143646	-0.28797382	0.773366779	0.926562649
ABCD2	0.032141004	-0.082895485	2.208655494	-0.037532103	0.970060744	NA
ABCD3	4.515415199	0.009291719	0.265873119	0.034947943	0.972121251	0.991804164
ABCD4	6.603323364	0.162101731	0.224837508	0.720972817	0.470926239	0.788910033
ABCE1	4.46241526	-0.785413199	0.264788278	-2.966193231	0.00301511	0.070373345
ABCF1	9.018103695	-0.793941182	0.258223128	-3.074632345	0.002107622	0.059409893
ABCF2	3.262225316	-0.627448239	0.264078728	-2.375989327	0.017501969	0.180714206
ABCF3	6.939095495	-0.308468001	0.29738166	-1.037279842	0.299605457	0.66686232
ABCG1	2.096265052	0.390570469	0.448304789	0.871216365	0.383636026	0.730537587
ABCG2	0.040441393	-0.082895485	2.208655494	-0.037532103	0.970060744	NA
ABCG4	0	NA	NA	NA	NA	NA
ABCG5	0.161350268	0.652773664	2.057293346	0.31729732	0.751018011	NA
ABCG8	0.19770925	0.398834701	2.208655494	0.180578049	0.856698787	NA
ABHD1	1.919384016	-0.11461677	0.344941422	-0.332278939	0.739678642	0.914453383
ABHD10	5.755923309	0.306071444	0.274982368	1.113058437	0.265683333	0.638349447
ABHD11	9.694904552	0.509305991	0.285683682	1.782761924	0.074625066	0.367798416
ABHD12	4.797021002	0.058074232	0.211417721	0.274689519	0.783554784	0.931037515
ABHD12B	0.768560503	1.479196402	0.915440686	1.615829868	0.106131102	NA
ABHD13	4.005502145	0.220873968	0.281674971	0.784144815	0.432955142	0.762553758
ABHD14A	1.129574981	0.146037366	0.427130644	0.341903276	0.732423684	0.912335216
ABHD14B	1.85659679	-0.170807703	0.346178098	-0.493409908	0.621722983	0.867505819
ABHD15	3.257028516	0.609151611	0.504957445	1.206342468	0.227685469	0.602038005
ABHD16A	5.340588031	-0.132104354	0.227797533	-0.579920037	0.561968543	0.842138288
ABHD16B	3.882125648	-0.098005176	0.235590003	-0.415998874	0.677410827	0.894448974
ABHD17A	4.878787465	-0.20849734	0.227658223	-0.915834873	0.359753509	0.717188954
ABHD17B	3.749008939	0.352234176	0.249399533	1.412328929	0.157853132	0.522265479
ABHD17C	1.355318036	-0.7617713	0.407292675	-1.870328998	0.061438145	0.335921377
ABHD2	7.107731058	0.403023841	0.251031556	1.605470831	0.108390227	0.438572455
ABHD3	6.170579623	-0.140324136	0.213693052	-0.656662135	0.511398187	0.812024461
ABHD4	1.296628493	-0.211925105	0.422941489	-0.501074287	0.616318842	0.865606952
ABHD5	2.361675643	-0.104949316	0.300847679	-0.348845356	0.727205411	0.910291598
ABHD6	0.921712651	-0.489949964	0.633944687	-0.772859169	0.439605732	NA
ABHD8	2.295320657	0.072468385	0.328408982	0.220665052	0.825353245	0.948181573
ABI1	4.470015412	-0.060539947	0.20600124	-0.293881468	0.76884848	0.924360144
ABI2	8.914797679	0.053712914	0.169193916	0.317463626	0.750891835	0.918965496
ABI3	0.064282008	-0.309591879	2.208655494	-0.1401721	0.888524015	NA
ABI3BP	0.164971251	-0.172128422	2.100783273	-0.081935355	0.93469812	NA
ABL1	4.656893348	0.247870388	0.218859763	1.132553487	0.257401811	0.630645632
ABL2	5.789514381	-0.238726599	0.217762953	-1.096268194	0.272961424	0.644960368
ABLIM1	1.963732331	-0.139716216	0.331361998	-0.421642245	0.673286167	0.892229918
ABLIM2	2.640149368	0.199195595	0.504809247	0.394595772	0.693141234	0.899799071
ABLIM3	0.507799267	0.517971104	0.792957637	0.653214093	0.513618266	NA
ABO	5.472661662	0.153110673	0.920679159	0.166301878	0.867919388	0.95986076
ABR	2.300207472	0.162684403	0.314510529	0.517262184	0.604973149	0.860475554
ABRA	0.227762261	-0.209074043	1.634994459	-0.127874466	0.898248319	NA
ABRACL	3.713955747	0.247158539	0.343018324	0.720540339	0.471192372	0.788910033
ABT1	5.115688804	-0.171712232	0.199805788	-0.859395682	0.390122251	0.733749086
ABTB1	3.511328648	0.297970415	0.274962434	1.083676814	0.278508119	0.648686076
ABTB2	1.73165007	0.516768163	0.547764936	0.943412272	0.345470069	0.704963327
AC003006.1	3.616653258	0.613244016	0.523022786	1.172499617	0.240996526	0.614244865
AC003688.1	2.367984738	0.784404285	0.809718247	0.968737321	0.332676267	0.694959826
AC005154.6	5.956102615	0.038174716	0.199407975	0.191440265	0.848180676	0.955485117
AC005702.2	1.318231615	-0.272923233	0.596964321	-0.457185166	0.647537959	0.881534792
AC007040.2	0.078919489	-0.309591879	2.208655494	-0.1401721	0.888524015	NA
AC010323.1	0.676674343	0.825507118	0.798006135	1.03446212	0.300920176	NA
AC010522.1	10.22432186	-0.454968455	0.354577396	-1.283128764	0.199446968	0.573518381
AC011499.1	21.03444138	0.671468984	0.493593453	1.360368498	0.173713342	0.542641149
AC018512.1	0.58522171	-0.58715405	0.676170574	-0.868351971	0.385201679	NA
AC020915.1	15.06551539	-0.00883164	0.427815443	-0.020643574	0.983529981	0.994421608
AC020915.2	0.279719481	0.178409388	1.010988564	0.176470233	0.859924532	NA
AC020922.1	1.662421632	0.953204793	0.593591068	1.605827385	0.108311842	0.438572455
AC022384.1	0	NA	NA	NA	NA	NA
AC040162.1	3.07847959	0.566010563	0.554266493	1.02118849	0.307165144	0.673281506
AC064853.2	0	NA	NA	NA	NA	NA
AC064853.3	0.137784806	0.172138307	2.208655494	0.077938052	0.93787733	NA
AC068946.1	1.515798969	-0.202230663	0.569908269	-0.354847744	0.722703658	0.908978667
AC078927.1	0	NA	NA	NA	NA	NA
AC093668.1	1.455615751	0.423733849	0.490173094	0.864457585	0.387336571	0.732531482
AC097372.1	0	NA	NA	NA	NA	NA
AC097662.2	0.704858167	-0.609195707	0.583964225	-1.043207239	0.296852321	NA
AC098650.1	0.425088303	-0.795711946	1.867266557	-0.426137309	0.670007795	NA
AC104304.1	0.473831753	-0.049394636	1.594413716	-0.030979811	0.97528564	NA
AC104581.1	2.397754181	0.200967762	0.459389154	0.437467362	0.661772441	0.888538059
AC105052.1	1.44804257	0.310260318	0.586840306	0.528696333	0.597016121	0.858833075
AC106782.1	1.849032295	-0.624019425	0.593627008	-1.051197834	0.293167738	0.660185673
AC107871.1	0.47494815	-0.861716664	0.977152479	-0.881865096	0.377849764	NA
AC114296.1	0.083322225	0.398834701	2.208655494	0.180578049	0.856698787	NA
AC124312.1	3.905811646	-0.491195178	0.994615827	-0.493854174	0.62140917	0.867505819
AC126755.2	1.004219374	0.394285259	0.71471528	0.551667594	0.581176116	NA
AC131160.1	20.40876652	0.575951619	0.595182675	0.967688817	0.333199805	0.695351593
AC135068.1	0.099386011	-0.182074983	2.208655494	-0.082437023	0.934299196	NA
AC138647.1	4.964421807	2.156843268	1.80858573	1.192557938	0.233042547	0.607238474
AC138969.1	1.192192246	0.668371176	1.002009572	0.66703073	0.504752505	0.808244459
AC245033.1	12.21418395	-0.293376653	0.495693161	-0.591851323	0.553950152	0.837149311
ACAA1	2.070700017	-0.687522161	0.402016199	-1.710185218	0.087231628	0.395424099
ACAA2	4.604361262	0.29269725	0.279612823	1.046794803	0.295194228	0.662466425
ACACA	3.910455818	-0.157026614	0.221891684	-0.707672369	0.47914874	0.79447775
ACACB	1.274030835	-0.056351761	0.480730905	-0.117221007	0.90668492	0.972811612
ACAD10	2.689098058	-0.095070907	0.268156762	-0.354534812	0.72293812	0.909033988
ACAD11	2.443812448	0.051784377	0.309144176	0.167508821	0.866969707	0.959585507
ACAD8	4.953647306	0.25428298	0.219623104	1.157815254	0.246939437	0.620192069
ACAD9	10.22558416	-0.020996545	0.21127604	-0.099379679	0.920836817	0.977184066
ACADL	0.356481072	0.47214811	0.872817751	0.540946962	0.58854414	NA
ACADM	5.138721769	-0.356263476	0.272669683	-1.30657531	0.191356987	0.564121487
ACADS	1.709265162	-0.009737392	0.357719939	-0.027220713	0.978283696	0.992973999
ACADSB	9.634198666	-1.01790317	0.700099146	-1.453941455	0.145962538	0.505143295
ACADVL	20.66284666	-0.423579824	0.294838884	-1.436648447	0.15081791	0.511718371
ACAN	0	NA	NA	NA	NA	NA
ACAP1	1.551270029	-2.703311319	1.073425654	-2.518396417	0.011789055	0.146092515
ACAP2	6.914246306	0.328987639	0.205021687	1.604647998	0.108571292	0.438844315
ACAP3	7.642518177	0.447596009	0.21558255	2.076216323	0.037873948	0.270563253
ACAT1	3.891019386	-0.182937926	0.272917157	-0.670305698	0.502662936	0.807342604
ACAT2	4.316454774	-0.062331385	0.235320407	-0.264878793	0.791102836	0.934378761
ACBD3	5.691739394	-0.269718972	0.208088879	-1.29617197	0.194916244	0.568550299
ACBD4	2.702213874	-0.463400202	0.333372692	-1.390036477	0.164517801	0.532538461
ACBD5	2.661855386	-0.33975051	0.281754838	-1.205837358	0.227880208	0.602168236
ACBD7	1.694354272	0.438460847	0.364055269	1.204379896	0.228442779	0.602820278
ACCS	2.21185989	-0.133220855	0.336196882	-0.396258449	0.691914377	0.899799071
ACCSL	0.11416719	-0.309591879	2.208655494	-0.1401721	0.888524015	NA
ACD	3.827139594	-0.261211181	0.268090511	-0.974339525	0.329887986	0.691981476
ACE	0.996395824	0.011156299	0.521242564	0.021403276	0.98292396	NA
ACE2	0.099201611	-0.054558087	2.208655494	-0.024701945	0.980292703	NA
ACER1	0.409534378	0.439736138	1.261925202	0.348464503	0.727491368	NA
ACER2	2.755769535	0.059094046	0.374418615	0.157828814	0.874591693	0.961350152
ACER3	1.682535073	0.133538058	0.354766747	0.376410863	0.706611471	0.903448979
ACHE	0.485038898	-0.028745208	1.256603651	-0.022875318	0.981749729	NA
ACIN1	13.60223095	-0.370036465	0.253183123	-1.461536854	0.143868169	0.502326939
ACKR1	1.512394762	0.887295904	0.973644362	0.91131417	0.362129863	0.718904912
