"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACTL6B",4.17294763826133,1.28294540484232,0.433911751477168,2.95669661048538,0.00310953914569212,0.0719015783464786
"ADARB2",3.65343213158403,1.68590922029034,0.571374102778345,2.95062238924111,0.00317134371946907,0.0726188491074468
"ADCY1",3.79599005958984,1.47432359641973,0.409994709788015,3.59595760926287,0.000323200431886257,0.0228021577427935
"ADCY2",2.0128244516532,2.33751663273972,0.701484185792625,3.3322442331305,0.000861486163707755,0.0375383149278457
"ADCYAP1",4.97517666925911,3.92295160334814,0.928770040631286,4.22381368016749,2.40202653853569e-05,0.00551986850409985
"AFF3",2.42367415738679,1.65437503555577,0.693944867211573,2.38401509071379,0.0171249001148949,0.178239635143881
"AGMO",1.11700717546134,1.92289178562885,0.882203197281884,2.17964726443226,0.0292836184203628,0.23726287900567
"AKAP2",1.93786634281424,1.09657383575833,0.436558533217874,2.51185981333473,0.0120096785879643,0.147479420910491
"ANKLE1",0.867530959614741,1.15135244757759,0.583326065484649,1.97377164454498,0.0484077144364686,NA
"ANKRD35",1.8270435465383,1.04111723488523,0.526378129606518,1.97788847280471,0.0479412896426382,0.302655012766093
"ANKRD6",3.84847180539398,1.01506783920299,0.291594738631543,3.48109106483442,0.000499375678471878,0.0295805268797785
"ANKRD65",11.4004638152907,1.02129448401538,0.466381001745337,2.18982865981546,0.0285366653835671,0.234042122898119
"ANKS1B",1.21044191441093,1.27279864060223,0.64472554202662,1.97417126767049,0.0483622718847509,0.303202690301525
"ANO4",1.44105237085002,2.44491206461959,0.635250011860143,3.84873989606138,0.000118726990241517,0.0134356567278837
"ANXA2R",4.4050446861913,1.11035672568451,0.359999349725644,3.08432980929191,0.00204011296531789,0.0588292512720535
"APCDD1",5.92876327624105,3.10357267043159,1.03823703879808,2.98927176979205,0.00279643277419274,0.0680064643832541
"ARHGAP20",1.09339894863755,1.92476423777529,0.793484791598207,2.42571030743828,0.0152784606003469,0.166853689775292
"ASS1",6.9874605868157,2.05831399354673,0.886638613531243,2.32148020866024,0.0202609410368164,0.193523157580115
"ASTN2",2.71165644546458,1.02054200559677,0.42263401463588,2.41471810184521,0.0157473919688625,0.169148240551354
"ASXL3",4.18974536011586,1.51195188216501,0.427065394908042,3.54032871825303,0.00039962894083917,0.0258592837315362
"ATF5",39.7031808719906,1.13918120751879,0.526534205404676,2.16354644356534,0.0304991756430377,0.242108918228226
"ATOH7",1.56114568310284,2.26426370217326,1.06028346431796,2.13552675145205,0.0327180074322744,0.250622762669063
"ATP1A3",3.13879279776113,1.80623610664058,0.713041349699616,2.53314356509829,0.011304464296732,0.14480425740813
"ATP2B3",1.35468359254734,2.04252428412466,0.582370776783029,3.5072575162638,0.000452750775293264,0.0278350923676172
"ATP4B",2.67626451214354,1.68549780538169,0.490459012008997,3.43657219892368,0.000589125313759453,0.0314995632060982
"ATP5L2",7.41867614821511,1.6809134261583,0.485793327978861,3.46014102983202,0.000539892545090842,0.0303341435854886
"ATP8A2",2.25655604931953,2.39029558572249,0.775509021050863,3.08222795717255,0.00205457432255656,0.0589486583307492
"AVP",3.5538094438653,3.57616456716039,1.1366752655247,3.14616203556571,0.00165428327735503,0.0525351290407096
"BAALC",1.18743155588225,1.59170767499456,0.587946144309943,2.70723380091676,0.00678464575190859,0.10813315897409
"BAHCC1",3.0227074609334,1.21452183854885,0.376632900228766,3.22468333969538,0.00126112077035762,0.0456621433630754
"BCL11B",3.2965833475853,1.18159948704309,0.536229621573494,2.2035326649353,0.0275572272952029,0.229975764718186
"BHLHE22",1.44301379440398,2.23374465480054,0.863575794244869,2.58662258679191,0.00969216875057503,0.132395664879967
"BRINP1",1.05724237827216,2.35320464277094,0.742988078808395,3.16721722715257,0.00153905306698226,0.0504232768673318
"BSX",0.772962636465517,1.51383180385514,0.679751567861426,2.22703686968729,0.0259448097741753,NA
