hgnc_symbol,Sample_3_304944_P3,Sample_6_304945_P3,Sample_7_304955_P1,Sample_8_313308_P3,Sample_11_329865_P1,Sample_12_344001_P3,Sample_1_313309_P1,Sample_13_334087_P1,Sample_14_357488_P3,Sample_15_357484_P1,Sample_16_364088_P3,Sample_2_329883_P3,Sample_3_318978_P1,Sample_4_344004_P3,Sample_5_318979_P1,Sample_7_318986_P1,Sample_8_357486_P3,Sample_6_270502_P1,Sample_4_278106_P2,Sample_3_279202_P3,Sample_9_278109_P1,Sample_14_285849_P1,Sample_5_281161_P3,Sample_11_285881_P3,Sample_8_278108_P1,Sample_1_270501_1_P1,Sample_15_285880_P1,Sample_5_304943_P3,Sample_4_304938_P3,Sample_10_279201_P1,Sample_1_301350_P3,Sample_13_281163_P1,Sample_12_279204_P1,Sample_7_278102_P3,Sample_2_304940_P3,Sample_9_329861_P1,Sample_10_329885_P3
A1BG,0.9861109221242458,0.6264767430358243,0.4361148981594711,0.5034285568529694,10.933575590740439,0.3465551908930503,1.3590887776121372,0,0,0,0,0,0,0,0,0,0,0.2654391289167273,0.7739533191558222,0.7778931719035633,0.8624687816770777,0.4373185471324892,0.8846441598191206,0.8289178244988779,0.9274967532318938,1.0464412794765876,0.977814582823831,0.7550717576135018,0.30190525724816364,0.5279743121152073,0.7194398918979549,0.5622556652861426,1.2306382818997736,0.5505945763036815,0.98866261433156,0,0
NAT2,0.5976147744647297,1.2012973531986513,0.18715951403516126,0.1338553892870429,0,0,0,24.329492902526248,0,0,0,0,0,0,0,0,0,6.3127171222759015,0.8646908812068431,1.2883917186257736,0.05993583529739754,2.4632483165723014,1.0304695466873772,0.4905653728057875,1.1344052924114918,0.3199710730791358,1.4949352031251208,0.7080283600295636,0.1709514428046845,0.14244623843547768,0.5499590821323205,0.19837073454593449,0.3960980187196091,7.314764203012086,0.26451604437540194,0,0
ADA,0.7706187904406485,0.08373307886683846,1.9910589848601854,1.5150909777623804,0,0,0,0,0,10.454511303968077,23.66594665827227,1051.4692639055233,0,1.2114401057063717,0,0,0,1.0078331765244843,1.5258045118670838,0.5963889964857906,2.5762237299827855,0.5445147761344925,2.4360986166547054,1.616592222330299,0.97520350529108,2.121941698549233,0.4283789518093525,0.18524558551233247,5.702056362103299,0.8163694343756489,0.4976612004729051,3.5811614917342753,1.8160525349128809,4.890833419463911,1.8191521171927119,0,0
CDH2,0.02399422772910338,0.09559510904239997,0.04821773865107735,0.07225437903723789,0,0,0.0679763830817507,0.08329548909120633,0,0,0,0,0,0,0,1.2204987886190988,0,0.3584585419676931,0.29479277527253667,0.02918041399559999,0.1235297262702231,0.41443556998188763,0.34133007871913373,0.16851189253657334,0.1837036605316933,0.18842025631353534,0.1956260687597967,0.2265946767948112,3.7649676174822164,0.30756668249717045,0.15340381471317718,6.2495429334850305,0.019437405568735563,0.4615092677669309,0.08900836905685652,0,0
AKT3,0.03411357509993896,0.13979466211578426,0.6169781834507081,0.7444372671873177,0,0,0,0,0,0,0,0.7290102384519755,0,0,0,0,0,0.5581718557734232,0.1469637868775186,0.04445034457237391,0.18279572489762067,0.16413985804983505,0.12709791175299714,0.029336357262190534,0.2136919164434316,0.04920332806879816,0.21853038780339365,0.07731814112652047,0.5765821200472505,0.03407377669155412,0.12462884497335358,0.5456884094020706,0.011843551983238547,0.4478460955113781,0.06779294966477986,0.029989004819553616,0
GAGE12F,1.5354246156263147,0.2752769888926964,1.2562479934822532,1.3240481049755883,0,0,0,21.587295092347805,0,33.9606028859433,0.6274441070274317,0,0,0,0,2.1795752396419714,0,0,6.302360135184233,14.144767351968019,2.2020631676539555,0.19890239318980507,7.462750015085609,3.9282074863193044,1.603016920714522,1.2918513281582518,0.3129597301725932,0.3480027431083916,3.4786050670625324,3.89159455262246,3.272175790233865,1.495017209710991,0.1865740667574124,0.16407017602300764,6.728130201677336,0.47242335703936283,0
MED6,0.017710590863412444,0.127008986954452,0,0.0290903544044613,2.13956187348171,0.3454400380510677,0,0,0,0.09439127367797674,0,0,0.4725951277353176,0,0,0.06285161272729943,0,0.05879666513463481,0.3560597886032555,0.09692375628885054,0.039076977765679484,0.04588540357745008,0.5038843043269587,0.3198389089035753,0,0.14901057399053103,0.21659292216895312,0.060211365701179645,0.08916556442525522,0.06191475116155911,0.1698453621811984,0,0.04304134411334365,0.15139940995390408,0.0739110955676954,0,0
NR2E3,7.200960937802858,7.418585727738548,7.749434025156797,8.237638049687979,3.9454603304630216,5.468954503380638,14.948362625723046,18.317114261947022,0,40.348486448425625,0,0,0.17004669719012142,0,0,6.467872052870578,54.71077047363745,6.769890335416449,7.131766363105464,8.858147644582017,8.295679034758962,7.990958562451264,6.617632660852632,5.6390550771777495,7.58449152975047,8.685824765347592,8.884399379598598,7.582728099525117,5.871204585935136,7.5521879765608215,6.695254022949303,5.522296380081372,7.557612285922629,4.957292400735064,7.1981911527108835,18.352309421090233,0
NAALAD2,25.925933731535274,12.890526478617781,34.93002940467996,37.78995269192769,37.74894364018411,3.6495234145562594,30.564862492176644,6.313606388933522,0.3401255859492923,4.148476731018693,9.970585665604531,10.636152620192792,0.7988637305651394,20.578261678438192,9.563354856608449,13.73189398234893,14.402328129804532,13.504413127899898,37.71750776010385,9.202214484807827,30.83108144912503,11.266114507649991,33.39586343621931,24.57696597698317,22.160132740692628,10.478373684997743,13.577083524244905,13.926880489002837,7.705732846951607,22.135430241634225,27.306649247303927,6.194312936888322,19.971543847203282,6.206108867440996,41.09405371656216,29.19971679856433,0.3548119979522852
DDTL,0,0.078458150962689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03991559382333906,0.048278590267078016,0.056690223380091234,0.051877996673825526,0,0,0.036819738160351403,0,0.07438957719656444,0,0,0,0,0,0,0,0,0
