	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	6.368050757	-0.887739425	0.592949684	-1.497158105	0.134352124	0.53489525
A1CF	0.044714865	-0.046037774	3.262372161	-0.014111748	0.988740828	NA
A2M	0.221202386	0.90897851	1.948532394	0.466493917	0.640862001	NA
A2ML1	0.081293181	-0.046037774	3.262372161	-0.014111748	0.988740828	NA
A3GALT2	2.623031426	0.229322671	0.646788294	0.354556001	0.722922243	0.912243454
A4GALT	1.439094026	0.545790196	0.929176222	0.58739148	0.556940815	0.841330866
A4GNT	0.027379363	0.046701563	3.262372161	0.014315216	0.9885785	NA
AAAS	3.664199879	0.157193695	0.510985652	0.307628393	0.758365113	0.927875935
AACS	6.290110684	0.077233898	0.462774865	0.166893028	0.867454219	0.961609789
AADAC	0	NA	NA	NA	NA	NA
AADACL2	0.135997082	-0.138778615	3.081156326	-0.045041082	0.964074563	NA
AADACL3	0.137784806	0.634045201	3.262372161	0.194350972	0.845901076	NA
AADACL4	0.159831454	1.591239447	3.220212196	0.494141178	0.621206479	NA
AADAT	3.397869236	-0.767734124	0.524391785	-1.464046817	0.143181157	0.543124872
AAED1	2.428025226	1.055618427	0.380002996	2.777921324	0.005470786	0.17480067
AAGAB	3.973363086	-0.261499705	0.393255676	-0.664961045	0.506075409	0.817967424
AAK1	2.305461317	-0.541754226	0.556956402	-0.972704908	0.330699985	0.709724784
AAMDC	4.513537203	-0.994791795	0.499865219	-1.990120053	0.046577712	0.389797534
AAMP	6.845362678	-0.624052542	0.431590032	-1.445938266	0.148194518	0.547338663
AANAT	0.091328527	-0.046037774	3.262372161	-0.014111748	0.988740828	NA
AAR2	1.853921181	-0.032658819	0.519966657	-0.062809448	0.949918242	0.98579532
AARD	0.134575634	-0.231522656	2.469113421	-0.093767526	0.925293829	NA
AARS	6.219156009	-0.079048912	0.384761227	-0.205449267	0.837221132	0.952070578
AARS2	6.036019149	-0.141754083	0.313389655	-0.452325343	0.651034621	0.88663488
AARSD1	5.744943954	0.593679115	0.318643769	1.863143654	0.062442058	0.419970498
AASDH	3.033797373	-0.414384762	0.472044812	-0.877850475	0.380024869	0.744308186
AASDHPPT	3.628619968	-0.864202731	0.514527391	-1.679604907	0.093034212	0.482654539
AASS	1.263900871	-1.315236166	1.274077365	-1.03230479	0.301929358	0.68980812
AATF	3.692099687	-0.47715891	0.423706135	-1.1261553	0.26009979	0.653438905
AATK	1.811020347	0.370480452	0.759166458	0.488009511	0.625543104	0.875007771
AATK-AS1	0	NA	NA	NA	NA	NA
ABAT	1.753912599	0.432534875	0.543715787	0.79551649	0.426313122	0.769962685
ABCA1	1.206003865	-0.2368091	1.026944645	-0.230595779	0.817628847	0.945741105
ABCA10	1.068023339	-0.018718226	0.80956849	-0.023121239	0.981553564	0.993931374
ABCA12	1.346145028	0.19742903	0.675090569	0.292448213	0.76994395	0.930643413
ABCA13	0.076288168	-0.046037774	3.262372161	-0.014111748	0.988740828	NA
ABCA2	4.007101778	0.543971163	0.487850463	1.115036685	0.264834702	0.658868648
ABCA3	2.376829523	-0.386231277	0.705150678	-0.547728718	0.58387819	0.854816187
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	6.291387137	-0.473441357	0.373425018	-1.26783513	0.204856834	0.607698385
ABCA6	0.374040419	-0.890134687	1.766541988	-0.503885383	0.614341923	NA
ABCA7	3.314228244	0.308450717	0.414241281	0.744616076	0.456503847	0.788055926
ABCA8	0.089224599	0.726784539	3.262372161	0.222777937	0.823708341	NA
ABCA9	0.281574249	-0.584052837	1.960217334	-0.297953103	0.765738957	NA
ABCB1	0.129665992	1.43641555	3.08348566	0.465841488	0.641328966	NA
ABCB10	4.077218234	0.128736279	0.335976903	0.383170028	0.7015937	0.90524751
