gene_name	cluster_id	A_diff	E_diff	O_diff	rank_A_diff	rank_E_diff	rank_O_diff	rank_sum	TF_rank
EGR2	c1	5.194570025078571	0.08503773499552109	7.043337200401414	19	53	118	190	64
PRDM1	c2	0.9161058619184158	0.08276477292117713	7.714518268747549	38	64	81	183	65
CEBPA	c1	-0.8670673826525845	-0.6096711973277342	8.952786713516739	80	94	17	191	65
NFYB	c3	-0.10460063757986049	-0.18724865606036228	8.109662281711904	66	67	59	192	65
E2F3	c2	-0.5178493130864027	0.9904554392774177	7.2074028844402545	57	20	106	183	66
CEBPD	c1	-2.236317289501967	-0.06415669006097442	8.8344135120947	96	72	24	192	66
ZIC1	c3	5.322347100100061	-0.25699662848506166	7.263374690856173	9	73	110	192	66
FOXI1	c2	-4.00612211954994	1.1982836761910216	8.216633011251256	111	16	57	184	67
E2F4	c1	0.29531435041987003	1.3855959987032822	7.144689259658946	69	11	112	192	67
TEAD1	c3	-9.332254330089295	0.3153291799465378	8.514593523295748	124	23	46	193	67
RXRB	c2	-1.0082100103794296	0.08799275600321906	8.174657283890022	66	62	59	187	68
RXRB	c3	0.5607324338738486	-0.32678841399197384	8.176840103766454	60	77	56	193	68
USF2	c1	1.4529038955100866	-0.1054255109535894	7.970414582038507	54	75	66	195	68
RFX3	c2	-3.3493957034130712	0.26200613627379116	8.642109773219499	104	44	42	190	69
E2F6	c3	3.3195606477034927	-0.030390832327488355	7.158413798486256	24	54	116	194	69
OTX2	c1	-1.6371201666110762	-0.441221168223022	8.923363096720578	91	86	19	196	69
SOX4	c2	-1.930340967883075	0.5076419903182097	7.910045374295945	88	34	70	192	70
TBX21	c3	1.2653343765351535	0.031787226473896056	7.379874089158253	45	47	103	195	70
ETV1	c1	5.240730032232519	-0.4914226337946414	7.6493158616651895	17	90	90	197	70
ELF5	c2	2.651683012666983	-0.05473249888940062	7.358811224628952	16	77	101	194	71
SRF	c3	-4.728463903463376e-4	-3.5383859368411925	9.289829633018037	65	120	11	196	71
SPIB	c1	1.3221748938835982	0.05057482326979268	7.710598505453267	56	58	85	199	71
FOXO3	c2	-0.5369884713324506	-0.1312716474461819	8.509539021823075	58	87	50	195	72
THAP1	c3	3.6888995029861076	-0.11418978200754516	7.0631476786412035	17	60	119	196	72
PPARG	c1	-1.2822440872184868	0.7126870569194598	7.582314226064903	88	21	93	202	72
CLOCK	c2	-1.0927345897694338	0.11663047873378636	7.872042577731027	69	56	71	196	73
RFX3	c1	-0.24294789930912386	-1.0283482270507822	8.905978886826299	74	108	21	203	73
ETV1	c3	-2.779465825886847	0.4001789666318106	7.668531600957891	98	19	87	204	73
EGR2	c2	4.394397626991481	-0.04835450561533049	6.9943587971577985	5	75	116	196	74
MEIS1	c1	-1.6668582730420791	-0.799406317518527	9.216275869564193	92	101	11	204	74
MTF1	c3	-1.0260107007394104	-0.1663735602195035	7.926122385967459	75	64	68	207	74
ELK1	c2	0.9956925119096003	-0.13668376500315954	7.859731045014583	36	89	72	197	75
NR4A2	c1	-0.9885306244313886	-0.4120802602237092	8.618111318637197	83	84	37	204	75
NFYA	c3	0.46497347854175364	-0.6213700061478651	8.094396223648323	61	86	61	208	75
RFX5	c2	-3.8757091725110735	7.313372401746554	7.65050635409416	109	1	87	197	76
ELF5	c1	2.551275801060199	0.004988838982359337	7.443824046575087	43	62	102	207	76
FEV	c3	-2.65136698638039	2.505491572318394	7.324821173530825	97	5	106	208	76
NRF1	c2	2.0111706576362525	-0.036794762845993596	7.401851470967522	26	72	100	198	77
NFYB	c1	2.880947666413382	-0.8556930513272591	7.960175978012266	36	103	69	208	77
ERG	c3	-1.8899154232500956	0.5163722577643487	7.269075016029397	86	17	109	212	77
TFE3	c2	-2.4437640756050647	0.08991816869493752	8.561463567980494	94	61	46	201	78
NR2C2	c1	0.5170229291899404	0.025373295707777608	7.729424475217805	65	60	83	208	78
REST	c3	4.837927255839448	-1.91785991051312	7.481659672469255	10	111	95	216	78
RARA	c2	-0.426620331540337	0.10368683084976059	7.4644577391644	55	57	94	206	79
EHF	c1	3.8160928077352625	-1.0036076438779509	7.803334685835425	28	107	79	214	79
ETV4	c3	-2.995967956523379	0.27921418217683136	7.451217719343125	99	25	97	221	79
PDX1	c2	-2.1223269396554305	-0.792586904524618	9.399502851610583	90	107	13	210	80
FEV	c1	5.661040703351933	-0.6551920284241949	7.344856034100551	13	96	105	214	80
CEBPA	c3	-1.1391588930909993	-2.536725163739569	8.892569017068077	79	116	27	222	80
FOXA1	c2	-5.0258641911805935	0.2961644977860222	8.37503986200955	115	42	53	210	81
LHX2	c1	-3.2639484395295835	-0.9043073931379715	9.219454493838219	102	104	10	216	81
MEF2D	c3	-2.26961323770623	-1.862166024191963	8.953804305428577	93	108	23	224	81
USF2	c2	-5.377310997611796	0.761438023051292	7.922740842540384	116	26	69	211	82
DBP	c1	-1.2795915807245375	-1.7841131126231489	9.189463387839702	87	117	12	216	82
PPARG	c3	1.1891365180686866	-0.4866292142526031	7.480875970265671	50	81	96	227	82
NR2C2	c2	-1.679820593564528	0.14342680944471695	7.785498416436785	81	55	75	211	83
RORA	c1	0.5193184405186342	-0.29225801863306783	7.928558958682928	64	82	72	218	83
