	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ALDH9A1	3.010874659	0.598728276	0.271447417	2.205687876	0.027405861	0.186954543
ALDOA	13.72566064	0.592932163	0.25685354	2.30844458	0.020974422	0.162996851
ALDOB	0.191580433	0.28704551	1.306795108	0.219656095	0.826139001	NA
ALDOC	2.311019537	0.078229651	0.350406764	0.223253826	0.823337962	0.941703843
ALG1	1.00111536	0.286057612	0.499184656	0.573049689	0.566611051	NA
ALG10	7.927800991	0.629822697	0.324162024	1.942925607	0.052025147	0.261666396
ALG10B	4.451172273	0.565036054	0.369850583	1.527741417	0.126576753	0.417543192
ALG11	5.697677646	0.733308786	0.309359625	2.370408823	0.017768426	0.148320022
ALG12	2.826844384	0.321169615	0.296827217	1.082008647	0.279248686	0.609018927
ALG13	5.630767891	-0.375598248	0.289942991	-1.29542103	0.195175027	0.514513215
ALG14	1.51786013	-0.25676409	0.414301239	-0.619752164	0.535420967	0.802070601
ALG1L	1.332478797	0.351091624	0.575258089	0.610320186	0.541649728	0.805838918
ALG1L2	1.570629736	0.02261457	0.445751873	0.050733538	0.959537851	0.987861203
ALG2	10.62485194	1.048711821	0.320960211	3.267420025	NA	NA
ALG3	3.733245439	0.613276177	0.271316394	2.260372728	0.023798128	0.172644246
ALG5	3.650500424	0.13853504	0.272935796	0.507573728	0.611752319	0.843625021
ALG6	4.487964611	0.108412335	0.281000697	0.385808065	0.699638822	0.887987026
ALG8	7.304119145	-0.206563298	0.215784804	-0.957265267	0.338433382	0.663893672
ALG9	2.803031692	-0.27711996	0.313062542	-0.885190411	0.376053943	0.693793476
ALK	0.990505852	1.535157078	1.129700627	1.358906104	NA	NA
ALKBH1	3.16626125	-0.554612329	0.313216853	-1.770697594	0.076611003	0.323483138
ALKBH2	2.822059003	0.589092511	0.297094871	1.982843087	0.047384959	0.247525532
ALKBH3	2.206733142	0.1420574	0.344803679	0.411995023	0.680343071	0.87735607
ALKBH4	4.218460684	-0.693033334	0.393800139	-1.759860563	0.078431451	0.32680583
ALKBH5	4.928312107	0.065778393	0.228589199	0.287758097	0.773531915	0.92107538
ALKBH6	3.323665812	0.05049897	0.266388428	0.189568934	0.849646933	0.949734109
ALKBH7	1.075010767	0.292383071	0.439129792	0.665823809	0.505523725	NA
ALKBH8	0.837878938	0.025248633	0.530158641	0.047624675	0.962015366	NA
ALLC	0.118379234	-0.58450956	2.482309698	-0.235470038	0.813843931	NA
ALMS1	4.942033523	-0.015356336	0.237470551	-0.064666277	0.948439714	0.984070153
ALOX12	3.232591641	-0.178766636	0.316649386	-0.564557027	0.572375101	0.822741004
ALOX12B	0.34012805	-0.111046368	1.415936628	-0.078426086	0.937489124	NA
ALOX15	0	NA	NA	NA	NA	NA
ALOX15B	0.727607279	-1.416368296	1.47448914	-0.960582386	0.336762189	NA
ALOX5	1.99782609	0.378395285	0.353432807	1.070628638	0.284336441	0.614341978
ALOX5AP	0.255691948	0.454111913	2.300584727	0.19738978	0.843522527	NA
ALOXE3	0	NA	NA	NA	NA	NA
ALPI	0.032141004	0.077682112	2.482309698	0.031294287	0.975034846	NA
ALPK1	0.29604135	0.998156811	1.040421066	0.95937774	0.337368485	NA
ALPK2	0.211692178	-0.696947567	2.482194651	-0.280778772	0.778880086	NA
ALPK3	1.78541038	0.066356072	0.893059415	0.074301968	0.940770111	0.981647665
ALPL	4.195760492	-1.778847576	1.492671065	-1.191721082	0.233370629	0.560067097
ALPP	0	NA	NA	NA	NA	NA
ALPPL2	0	NA	NA	NA	NA	NA
ALS2	3.060526518	0.431025411	0.25809571	1.670021598	0.09491509	0.357857301
ALS2CL	0.71604671	-0.372003911	0.786764831	-0.472827326	0.636336377	NA
ALS2CR12	0.36168647	0.197950237	0.788243704	0.251128218	0.80171498	NA
ALX1	0.244305811	0.337586425	1.513167689	0.22309915	0.82345834	NA
ALX3	2.877322355	0.359761951	0.334684959	1.074927155	0.282407343	0.611969611
ALX4	0.537282784	-1.434916394	1.136915094	-1.262113945	0.206907788	NA
ALYREF	13.16180057	0.34496608	0.273919197	1.25937168	0.207896114	0.530560661
AMACR	10.46334309	0.406440751	0.557835332	0.728603457	0.466244263	0.761339876
AMBN	0	NA	NA	NA	NA	NA
AMBP	0.126361168	-0.137083519	2.391324862	-0.057325344	0.954286032	NA
AMBRA1	4.795827134	0.077009504	0.223067454	0.345229673	0.729921713	0.903351584
AMD1	3.352968745	0.059962489	0.256966683	0.23334733	0.815491709	0.938189413
AMDHD1	0.833061256	0.941552815	0.942007161	0.999517683	0.317543977	NA
AMDHD2	4.653224892	-0.190641211	0.281652406	-0.676866972	0.498490361	0.779183983
